NZ_AQQH01000003.1	gb|AAC75089.1|ARO:3003577|ugd	82.7	388	67	0	5979	7142	1	388	6.69e-210	643
NZ_AQQH01000003.1	gb|AAF01499.1|ARO:3000193|tet(T)	26.9	674	429	11	32727	34739	5	617	1.94e-72	256
NZ_AQQH01000003.1	gb|CAA79727.1|ARO:3000191|tet(Q)	26.4	683	437	10	32727	34772	21	638	1.63e-66	239
NZ_AQQH01000003.1	gb|ABF69686.1|ARO:3007122|tet(O/W/32/O)	27.4	680	417	14	32727	34748	5	613	3.71e-66	238
NZ_AQQH01000003.1	gb|AAR29969.1|ARO:3007121|tet(O/W)	27.4	678	419	13	32727	34748	5	613	6.75e-66	237
NZ_AQQH01000003.1	gb|AAA20117.1|ARO:3000195|tetB(P)	26.0	681	442	9	32712	34748	1	621	2.93e-65	235
NZ_AQQH01000003.1	gb|AAO42740.1|ARO:3007123|tet(O/W/O)	27.4	678	419	13	32727	34748	5	613	5.51e-65	234
NZ_AQQH01000003.1	gb|CAD55718.1|ARO:3000197|tet(36)	25.4	685	447	8	32718	34772	2	622	5.62e-65	234
NZ_AQQH01000003.1	gb|CAA10975.1|ARO:3000194|tet(W)	27.8	680	414	14	32727	34748	5	613	7.43e-65	234
NZ_AQQH01000003.1	gb|CAC41371.2|ARO:3007119|tet(O/32/O)	27.9	680	413	13	32727	34748	5	613	1.35e-64	233
NZ_AQQH01000003.1	gb|AAR29485.1|ARO:3007120|tet(O/M/O)	26.3	674	432	10	32727	34748	5	613	4.92e-63	228
NZ_AQQH01000003.1	gb|ACH87088.1|ARO:3000196|tet(32)	27.2	680	416	11	32727	34745	5	612	6.64e-63	228
NZ_AQQH01000003.1	gb|AMP42147.1|ARO:3004442|tet(W/N/W)	27.0	692	425	15	32727	34784	5	622	1.21e-62	227
NZ_AQQH01000003.1	gb|AAA25293.1|ARO:3000192|tet(S)	26.4	679	419	13	32727	34739	5	610	1.85e-61	224
NZ_AQQH01000003.1	gb|AAL09826.1|ARO:3007124|tet(W/32/O)	26.7	678	424	13	32727	34748	5	613	1.44e-60	221
NZ_AQQH01000003.1	gb|AAA23033.2|ARO:3000190|tet(O)	26.2	675	431	11	32727	34748	5	613	3.53e-60	220
NZ_AQQH01000003.1	gb|BAB82500.1|ARO:3000186|tet(M)	25.7	676	427	12	32727	34739	5	610	4.76e-60	219
NZ_AQQH01000003.1	gb|CAA37477.1|ARO:3002891|otr(A)S.rim	28.7	687	420	16	32727	34748	5	634	3.59e-58	214
NZ_AQQH01000003.1	gb|CBH51823.1|ARO:3000556|tet(44)	27.0	555	329	11	32727	34373	5	489	3.04e-50	190
NZ_AQQH01000003.1	gb|AAA26830.1|ARO:3007127|otr(A)S.liv	27.0	678	419	15	32718	34721	2	613	2.36e-49	187
NZ_AQQH01000003.1	gb|AAC75314.1|ARO:3003578|PmrF	30.2	324	204	8	20562	19621	3	314	1.13e-37	145
NZ_AQQH01000003.1	gb|AAA99504.1|ARO:3002987|bcrA	29.4	201	121	5	11039	11596	19	213	7.62e-17	83.6
NZ_AQQH01000003.1	gb|AKA86814.1|ARO:3003746|optrA	23.2	241	132	6	11000	11578	18	253	1.89e-05	49.7
NZ_AQQH01000006.1	gb|AAL14440.1|ARO:3000775|adeB	59.8	1022	407	3	46256	49318	1	1019	0.0	1138
NZ_AQQH01000006.1	gb|EGP45231.1|ARO:3004144|AxyY	50.0	1030	512	2	46256	49339	1	1029	3.95e-296	922
NZ_AQQH01000006.1	gb|AAC73564.1|ARO:3000216|acrB	48.7	1035	515	6	46256	49324	1	1031	4.52e-296	922
NZ_AQQH01000006.1	gb|AAB41957.1|ARO:3000801|MexD	50.7	1032	486	10	46256	49312	1	1022	1.49e-292	912
NZ_AQQH01000006.1	gb|AAC76298.1|ARO:3000502|AcrF	49.1	1031	516	6	46256	49324	1	1030	1.29e-291	909
NZ_AQQH01000006.1	gb|CAC14595.1|ARO:3003056|smeE	47.2	1032	536	3	46256	49324	1	1032	1.37e-288	900
NZ_AQQH01000006.1	gb|AAA74437.1|ARO:3000378|MexB	47.7	1031	527	4	46256	49321	1	1028	1.45e-285	892
NZ_AQQH01000006.1	gb|CAH35802.1|ARO:3002983|amrB	47.6	1038	541	2	46256	49363	1	1037	8.30e-285	889
NZ_AQQH01000006.1	gb|AAC76539.1|ARO:3000796|mdtF	47.5	1029	530	6	46256	49318	1	1027	5.05e-281	878
NZ_AQQH01000006.1	gb|BAA16344.1|ARO:3000491|acrD	46.8	1031	537	5	46256	49324	1	1028	2.75e-279	873
NZ_AQQH01000006.1	gb|AAF42062.1|ARO:3000811|mtrD	47.5	1042	526	7	46256	49327	1	1039	1.61e-277	869
NZ_AQQH01000006.1	gb|BAA34300.1|ARO:3003033|mexY	47.7	1039	538	4	46256	49360	1	1038	2.38e-272	853
NZ_AQQH01000006.1	gb|AAX14802.1|ARO:3000781|adeJ	44.5	1050	561	8	46256	49348	1	1047	1.93e-260	820
NZ_AQQH01000006.1	gb|AAD51345.1|ARO:3003052|smeB	43.7	1037	565	4	46256	49324	1	1032	2.28e-251	793
NZ_AQQH01000006.1	gb|AAG05882.1|ARO:3000804|MexF	41.1	1052	602	8	46265	49369	6	1056	1.48e-226	722
NZ_AQQH01000006.1	gb|AAP43110.2|ARO:3003923|oqxB	40.9	1040	598	9	46265	49342	6	1042	2.95e-225	717
NZ_AQQH01000006.1	gb|ABS43151.1|ARO:3000784|cmeB	39.3	1027	613	7	46265	49327	5	1027	1.15e-221	707
NZ_AQQH01000006.1	gb|AAL19305.1|ARO:3000790|mdsB	39.7	1048	610	8	46262	49351	5	1048	2.09e-218	698
